,Cluster,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Region,Time_of_day,MonthYear,Tasking_complnotcompl
137,0,Friday,Lee On Solent,Pre-arranged Transfer,Land,South East,6:00pm - 8:59pm,05/2015,Yes
138,0,Friday,Portland,Rescue/Recovery,Maritime,South West,12:00pm - 2:59pm,05/2015,Yes
139,1,Friday,Inverness,Rescue/Recovery,Coast,Highlands and Islands,3:00pm - 5:59pm,05/2015,Yes
140,0,Saturday,Inverness,Search Only,Land,Highlands and Islands,6:00pm - 8:59pm,05/2015,Yes
141,1,Saturday,Portland,Aborted/Not Required,Coast,South West,3:00pm - 5:59pm,05/2015,No
142,0,Saturday,Stornoway,Search Only,Land,Highlands and Islands,3:00am - 5:59am,05/2015,Yes
143,0,Sunday,Stornoway,Aborted/Not Required,Maritime,Highlands and Islands,3:00pm - 5:59pm,05/2015,Yes
144,0,Sunday,Inverness,Rescue/Recovery,Maritime,North Eastern Scotland,12:00pm - 2:59pm,05/2015,Yes
145,1,Sunday,Lee On Solent,Rescue/Recovery,Coast,South East,3:00pm - 5:59pm,05/2015,Yes
146,0,Monday,Stornoway,Rescue/Recovery,Coast,Highlands and Islands,12:00pm - 2:59pm,05/2015,Yes
147,0,Tuesday,Stornoway,Aborted/Not Required,Land,Highlands and Islands,12:00pm - 2:59pm,05/2015,Yes
148,0,Tuesday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,9:00am - 11:59am,05/2015,Yes
149,1,Wednesday,Inverness,Aborted/Not Required,Coast,Eastern Scotland,3:00pm - 5:59pm,05/2015,Yes
150,1,Wednesday,Humberside,Support,Coast,East of England,9:00pm - 11:59pm,05/2015,Yes
151,1,Wednesday,Lee On Solent,Aborted/Not Required,Coast,South East,9:00am - 11:59am,05/2015,No
152,0,Thursday,Inverness,Rescue/Recovery,Coast,Highlands and Islands,9:00pm - 11:59pm,05/2015,Yes
153,0,Friday,Humberside,Rescue/Recovery,Maritime,East of England,9:00am - 11:59am,05/2015,Yes
154,1,Friday,Portland,Rescue/Recovery,Coast,South West,3:00pm - 5:59pm,05/2015,Yes
155,0,Friday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,6:00pm - 8:59pm,05/2015,Yes
156,1,Saturday,Portland,Aborted/Not Required,Maritime,South West,3:00pm - 5:59pm,05/2015,No
157,0,Saturday,Humberside,Rescue/Recovery,Land,East Midlands,6:00pm - 8:59pm,05/2015,Yes
158,0,Saturday,Inverness,Aborted/Not Required,Land,Highlands and Islands,9:00am - 11:59am,05/2015,No
159,0,Saturday,Inverness,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,05/2015,Yes
160,1,Saturday,Portland,Rescue/Recovery,Land,South West,6:00pm - 8:59pm,05/2015,Yes
161,0,Sunday,Portland,Search Only,Maritime,South East,12:00pm - 2:59pm,05/2015,Yes
162,1,Sunday,Portland,Search Only,Maritime,South West,3:00pm - 5:59pm,05/2015,Yes
163,0,Sunday,Portland,Search Only,Maritime,South West,6:00pm - 8:59pm,05/2015,Yes
164,1,Sunday,Lee On Solent,Search Only,Coast,South East,3:00pm - 5:59pm,05/2015,Yes
165,0,Sunday,Lee On Solent,Search Only,Maritime,South West,6:00pm - 8:59pm,05/2015,Yes
166,0,Sunday,Inverness,Aborted/Not Required,Coast,Eastern Scotland,12:00pm - 2:59pm,05/2015,No
167,1,Monday,Lee On Solent,Rescue/Recovery,Coast,South East,9:00pm - 11:59pm,05/2015,Yes
168,0,Monday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,12:00pm - 2:59pm,05/2015,Yes
169,0,Monday,Stornoway,Aborted/Not Required,Maritime,Highlands and Islands,9:00pm - 11:59pm,05/2015,No
170,1,Tuesday,Portland,Rescue/Recovery,Coast,South West,12:00pm - 2:59pm,05/2015,Yes
171,0,Tuesday,Humberside,Rescue/Recovery,Land,North West,3:00pm - 5:59pm,05/2015,Yes
172,0,Tuesday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,6.00am - 8.59am,05/2015,Yes
173,0,Tuesday,Stornoway,Search Only,Coast,Highlands and Islands,6:00pm - 8:59pm,05/2015,Yes
174,0,Wednesday,Stornoway,Aborted/Not Required,Coast,Highlands and Islands,6.00am - 8.59am,05/2015,Yes
175,0,Wednesday,Stornoway,Search Only,Coast,Highlands and Islands,9:00am - 11:59am,05/2015,Yes
176,0,Wednesday,Sumburgh,Rescue/Recovery,Land,Highlands and Islands,6.00am - 8.59am,05/2015,Yes
177,0,Wednesday,Inverness,Aborted/Not Required,Coast,Highlands and Islands,6.00am - 8.59am,05/2015,No
178,0,Wednesday,Inverness,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,05/2015,Yes
179,0,Thursday,Portland,Rescue/Recovery,Land,South West,12:00pm - 2:59pm,05/2015,Yes
180,0,Thursday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,12:00pm - 2:59pm,05/2015,Yes
181,1,Friday,Lee On Solent,Rescue/Recovery,Maritime,South East,3:00pm - 5:59pm,05/2015,Yes
182,0,Friday,Inverness,Rescue/Recovery,Land,Highlands and Islands,9:00am - 11:59am,05/2015,Yes
183,1,Friday,Inverness,Aborted/Not Required,Coast,Highlands and Islands,3:00pm - 5:59pm,05/2015,Yes
184,1,Saturday,Inverness,Pre-arranged Transfer,Coast,Highlands and Islands,12:00am - 2:59am,05/2015,Yes
185,1,Saturday,Inverness,Search Only,Coast,Eastern Scotland,9:00am - 11:59am,05/2015,Yes
186,0,Saturday,Lee On Solent,Pre-arranged Transfer,Land,South East,3:00am - 5:59am,05/2015,Yes
187,0,Saturday,Lee On Solent,Pre-arranged Transfer,Land,South East,6:00pm - 8:59pm,05/2015,Yes
188,0,Saturday,Stornoway,Aborted/Not Required,Land,Highlands and Islands,12:00pm - 2:59pm,05/2015,Yes
189,0,Saturday,Stornoway,Rescue/Recovery,Coast,Highlands and Islands,12:00pm - 2:59pm,05/2015,Yes
190,0,Sunday,Stornoway,Aborted/Not Required,Land,Highlands and Islands,9:00am - 11:59am,05/2015,No
191,0,Sunday,Sumburgh,Aborted/Not Required,Land,Highlands and Islands,12:00am - 2:59am,05/2015,No
192,0,Sunday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,6.00am - 8.59am,05/2015,Yes
193,0,Sunday,Lee On Solent,Aborted/Not Required,Land,South West,6:00pm - 8:59pm,05/2015,No
194,0,Sunday,Inverness,Search Only,Land,Highlands and Islands,6.00am - 8.59am,05/2015,Yes
195,0,Sunday,Inverness,Support,Land,Highlands and Islands,12:00pm - 2:59pm,05/2015,Yes
196,0,Sunday,Inverness,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,05/2015,Yes
197,0,Sunday,Inverness,Rescue/Recovery,Land,Eastern Scotland,6:00pm - 8:59pm,05/2015,Yes
198,0,Monday,Inverness,Search Only,Land,North Eastern Scotland,12:00am - 2:59am,06/2015,Yes
199,0,Monday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,9:00am - 11:59am,06/2015,Yes
200,0,Monday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,3:00pm - 5:59pm,06/2015,Yes
201,0,Monday,Humberside,Rescue/Recovery,Maritime,Yorkshire and the Humber,6.00am - 8.59am,06/2015,Yes
202,0,Wednesday,Stornoway,Rescue/Recovery,Maritime,Highlands and Islands,3:00pm - 5:59pm,06/2015,Yes
203,0,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Highlands and Islands,6:00pm - 8:59pm,06/2015,Yes
204,0,Wednesday,Lee On Solent,Pre-arranged Transfer,Land,South East,12:00am - 2:59am,06/2015,Yes
205,1,Wednesday,Lee On Solent,Support,Coast,South East,9:00am - 11:59am,06/2015,Yes
206,0,Wednesday,Lee On Solent,Support,Coast,South East,12:00pm - 2:59pm,06/2015,Yes
207,1,Wednesday,Lee On Solent,Support,Maritime,SouthEast,3:00pm - 5:59pm,06/2015,Yes
208,0,Thursday,Lee On Solent,Pre-arranged Transfer,Land,South East,12:00am - 2:59am,06/2015,Yes
209,0,Thursday,Lee On Solent,Rescue/Recovery,Coast,South East,12:00pm - 2:59pm,06/2015,Yes
210,0,Thursday,Sumburgh,Rescue/Recovery,Land,Highlands and Islands,6:00pm - 8:59pm,06/2015,Yes
211,0,Thursday,Stornoway,Rescue/Recovery,Land,Highlands and Islands,12:00pm - 2:59pm,06/2015,Yes
212,0,Thursday,Inverness,Rescue/Recovery,Land,Highlands and Islands,9:00am - 11:59am,06/2015,Yes
