Date,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Tasking_outcome,Region,Latitude,Longitude,Time_of_day,Tasking_duration
01/07/2016,Friday,Inverness,Rescue/Recovery,Maritime,Complete,Yorkshire and the Humber,56.39,2.25,9.00am - 11.59am,4
01/07/2016,Friday,Inverness,Rescue/Recovery,Maritime,Complete,North Eastern Scotland,57.94,0.84,12.00pm - 2.59pm,3
01/07/2016,Friday,Inverness,Search only,Coast,Complete (Nothing Found),Eastern Scotland,56.55,-2.58,9.00pm - 11.59pm,2
01/07/2016,Friday,Lydd,Search only,Land,Stood down,East of England,51.54,0.65,9.00pm - 11.59pm,0
01/07/2016,Friday,Lydd,Search only,Maritime,Complete (Nothing Found),South East,51.03,1.34,9.00pm - 11.59pm,1
02/07/2016,Saturday,Inverness,Support,Land,Complete,Highlands and Islands,57.25,-4.49,9.00am - 11.59am,2
02/07/2016,Saturday,Portland,Rescue/Recovery,Coast,Completed,South West,50.63,-2.3,3.00pm - 5.59pm,0
02/07/2016,Saturday,Newquay,Rescue/Recovery,Coast,Stood down,South West,50.24,-5.39,12.00pm - 2.59pm,0
02/07/2016,Saturday,Newquay,Rescue/Recovery,Land,Completed,South West,51.14,-4.22,3.00pm - 5.59pm,2
02/07/2016,Saturday,Newquay,Rescue/Recovery,Coast,Completed,South West,50.56,-4.95,6.00pm - 8.59pm,1
02/07/2016,Saturday,St Athan,Rescue/Recovery,Coast,Complete,Wales,51.39,-3.48,12.00pm - 2.59pm,0
02/07/2016,Saturday,St Athan,Rescue/Recovery,Land,Stood Down,South West,50.01,-5.16,3.00pm - 5.59pm,0
02/07/2016,Saturday,Stornoway,Rescue/Recovery,Maritime,Complete,Highlands and Islands,57.39,-6.94,9.00pm - 11.59pm,5
02/07/2016,Saturday,Caernarfon,Rescue/Recovery,Coast,Stood Down,Wales,52.54,-4.07,9.00am - 11.59am,0
02/07/2016,Saturday,Caernarfon,Rescue/Recovery,Coast,Completed,South Western Scotland,54.9,-3.53,3.00pm - 5.59pm,3
02/07/2016,Saturday,Lee On Solent,Rescue/Recovery,Coast,Stood down,South East,50.58,-1.2,12.00pm - 2.59pm,0
02/07/2016,Saturday,Humberside,Rescue/Recovery,Land,Completed,Yorkshire and the Humber,54.13,-0.11,12.00pm - 2.59pm,2
02/07/2016,Saturday,Prestwick,Rescue/Recovery,Land,Completed,Eastern Scotland,55.87,-2.09,3.00pm - 5.59pm,4
03/07/2016,Sunday,Prestwick,Rescue/Recovery,Coast,Stood down,South Western Scotland,55.21,-4.91,6.00am - 8.59am,0
03/07/2016,Sunday,Prestwick,Rescue/Recovery,Land,Stood down,Eastern Scotland,55.87,-2.09,9.00am - 11.59am,0
03/07/2016,Sunday,Caernarfon,Search only,Maritime,Complete (Nothing Found),Wales,53.55,-4.3,12.00am - 2.59am,1
03/07/2016,Sunday,Stornoway,Rescue/Recovery,Maritime,Complete,Highlands and Islands,58.69,-7.25,6.00am - 8.59am,1
03/07/2016,Sunday,St Athan,Rescue/Recovery,Coast,Complete,Wales,51.43,-3.6,3.00pm - 5.59pm,0
03/07/2016,Sunday,Newquay,Rescue/Recovery,Coast,Completed,South West,50.3,-4.12,9.00am - 11.59am,1
03/07/2016,Sunday,Portland,Rescue/Recovery,Coast,Completed,South West,50.6,-1.98,9.00am - 11.59am,1
03/07/2016,Sunday,Inverness,Rescue/Recovery,Land,Complete,North Eastern Scotland,57.5,-1.79,9.00am - 11.59am,3
04/07/2016,Monday,Prestwick,Support,Coast,Re-tasked,South Western Scotland,55.45,-4.78,6.00am - 8.59am,0
04/07/2016,Monday,Prestwick,Support,Coast,False Alarm,South Western Scotland,55.32,-4.86,6.00am - 8.59am,0
04/07/2016,Monday,Portland,Rescue/Recovery,Coast,Stood down,South West,50.55,-3.49,6.00pm - 8.59pm,1
04/07/2016,Monday,Portland,Rescue/Recovery,Coast,Completed,South West,50.22,-3.76,12.00pm - 2.59pm,1
04/07/2016,Monday,Lydd,Rescue/Recovery,Coast,Completed,South East,50.8,-0.05,6.00pm - 8.59pm,1
04/07/2016,Monday,Caernarfon,Rescue/Recovery,Maritime,Completed,Wales,53.47,-4.72,9.00pm - 11.59pm,0
04/07/2016,Monday,Lee On Solent,Search only,Coast,Stood Down,South East,50.67,-1.1,12.00pm - 2.59pm,0
05/07/2016,Tuesday,Caernarfon,Support,Land,Complete,Wales,52.96,-3.94,6.00am - 8.59am,1
05/07/2016,Tuesday,Lydd,Search only,Coast,Complete (Nothing Found),South East,51.02,1.02,9.00pm - 11.59pm,2
05/07/2016,Tuesday,Portland,Rescue/Recovery,Maritime,Completed,South West,50.11,-3.2,9.00am - 11.59am,1
05/07/2016,Tuesday,Prestwick,Rescue/Recovery,Land,Stood down,North East,55.58,-1.65,12.00pm - 2.59pm,0
05/07/2016,Tuesday,Inverness,Rescue/Recovery,Coast,Stood down,North Eastern Scotland,57.7,-2.68,12.00pm - 2.59pm,0
06/07/2016,Wednesday,Inverness,Rescue/Recovery,Land,Stood Down,Highlands and Islands,56.27,-5.48,3.00pm - 5.59pm,4
06/07/2016,Wednesday,Prestwick,Search only,Land,Complete (Nothing Found),Eastern Scotland,56.39,-4.46,12.00pm - 2.59pm,0
06/07/2016,Wednesday,Prestwick,Support,Land,Completed,Highlands and Islands,56.27,-5.48,3.00pm - 5.59pm,1
06/07/2016,Wednesday,Newquay,Rescue/Recovery,Coast,Completed,South West,50.08,-5.32,6.00am - 8.59am,1
06/07/2016,Wednesday,Lydd,Rescue/Recovery,Land,Stood down,East of England,51.7,-0.25,12.00pm - 2.59pm,0
06/07/2016,Wednesday,Lee On Solent,Search only,Land,Stood down,East of England,51.7,-0.25,12.00pm - 2.59pm,0
06/07/2016,Wednesday,Humberside,Search only,Coast,Completed,Yorkshire and the Humber,54.11,-0.07,12.00am - 2.59am,2
06/07/2016,Wednesday,Caernarfon,Rescue/Recovery,Maritime,Complete,Wales,53.52,-4.67,9.00am - 11.59am,2
07/07/2016,Thursday,Caernarfon,Support,Coast,Complete,Wales,52.73,-4.07,12.00am - 2.59am,1
07/07/2016,Thursday,St Athan,Pre-arranged Transfer,Land,Complete,Wales,52.4,-4.06,3.00pm - 5.59pm,3
07/07/2016,Thursday,Newquay,Rescue/Recovery,Maritime,Completed,South West,49.58,-4.61,3.00pm - 5.59pm,2
07/07/2016,Thursday,Prestwick,Rescue/Recovery,Coast,Completed,Highlands and Islands,55.63,-5.13,3.00pm - 5.59pm,1
08/07/2016,Friday,Prestwick,Pre-arranged Transfer,Land,Completed,Highlands and Islands,56.04,-5.43,12.00am - 2.59am,2
08/07/2016,Friday,Newquay,Rescue/Recovery,Maritime,Completed,South West,50.09,-7.06,9.00am - 11.59am,2
08/07/2016,Friday,Newquay,Rescue/Recovery,Land,Completed,South West,50.53,-3.84,6.00pm - 8.59pm,3
08/07/2016,Friday,Sumburgh,Rescue/Recovery,Maritime,Complete,Highlands and Islands,59.71,-1.42,12.00pm - 2.59pm,0
08/07/2016,Friday,St Athan,Pre-arranged Transfer,Land,Complete,South West,49.92,-6.29,9.00pm - 11.59pm,3
08/07/2016,Friday,Humberside,Rescue/Recovery,Coast,Stood down,East Midlands,53.19,0.35,3.00pm - 5.59pm,0
08/07/2016,Friday,Lee On Solent,Pre-arranged Transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,2
08/07/2016,Friday,Lee On Solent,Support,Land,Completed,South West,51.09,-1.97,9.00am - 11.59am,1
08/07/2016,Friday,Lee On Solent,Rescue/Recovery,Coast,Completed,South West,50.61,-1.95,9.00am - 11.59am,1
08/07/2016,Friday,Caernarfon,Support,Maritime,Complete,North West,54.14,-3.81,6.00am - 8.59am,2
08/07/2016,Friday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,53.01,-4.04,3.00pm - 5.59pm,2
09/07/2016,Saturday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,53.01,-3.16,9.00am - 11.59am,2
09/07/2016,Saturday,Humberside,Pre-arranged Transfer,Land,Completed,East of England,52.62,1.22,3.00am - 5.59am,10
09/07/2016,Saturday,Humberside,Rescue/Recovery,Land,Completed,East of England,52.79,1.6,3.00pm - 5.59pm,2
09/07/2016,Saturday,St Athan,Support,Land,Complete,Wales,51.47,-3.64,9.00am - 11.59am,0
09/07/2016,Saturday,St Athan,Rescue/Recovery,Land,Complete,Wales,51.78,-3.56,3.00pm - 5.59pm,2
09/07/2016,Saturday,St Athan,Rescue/Recovery,Coast,Complete,Wales,51.63,-4.68,3.00pm - 5.59pm,1
09/07/2016,Saturday,Sumburgh,Rescue/Recovery,Maritime,Complete,Highlands and Islands,62.21,1.73,12.00am - 2.59am,3
09/07/2016,Saturday,Sumburgh,Rescue/Recovery,Maritime,Complete,Highlands and Islands,60.19,-3.86,3.00pm - 5.59pm,2
09/07/2016,Saturday,Lydd,Rescue/Recovery,Maritime,Completed,South East,50.74,-0.19,12.00pm - 2.59pm,3
09/07/2016,Saturday,Lydd,Rescue/Recovery,Coast,Complete,South East,51.1,1.22,6.00pm - 8.59pm,1
09/07/2016,Saturday,Prestwick,Support,Land,Completed,South Western Scotland,55.12,-3.05,3.00am - 5.59am,2
09/07/2016,Saturday,Prestwick,Pre-arranged Transfer,Coast,Completed,Highlands and Islands,56.75,-6.19,6.00pm - 8.59pm,3
10/07/2016,Sunday,Inverness,Pre-arranged Transfer,Land,Complete,Highlands and Islands,58.96,-2.91,12.00am - 2.59am,5
10/07/2016,Sunday,Inverness,Rescue/Recovery,Land,Complete,Highlands and Islands,57.22,-4.83,3.00pm - 5.59pm,1
10/07/2016,Sunday,Portland,Rescue/Recovery,Coast,Stood down,South West,50.7,-1.75,3.00pm - 5.59pm,0
10/07/2016,Sunday,Inverness,Search only,Land,Complete (Nothing Found),Highlands and Islands,57.01,-6.27,9.00pm - 11.59pm,6
10/07/2016,Sunday,St Athan,Rescue/Recovery,Land,Complete,South West,51.2,-3.18,3.00pm - 5.59pm,1
10/07/2016,Sunday,Humberside,Rescue/Recovery,Land,Completed,Yorkshire and the Humber,54.07,-0.2,12.00pm - 2.59pm,1
10/07/2016,Sunday,Humberside,Rescue/Recovery,Coast,Completed,East of England,52.89,1.4,3.00pm - 5.59pm,2
10/07/2016,Sunday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,52.72,-3.78,12.00pm - 2.59pm,2
11/07/2016,Monday,Caernarfon,Search only,Coast,Complete,North West,53.44,-3.05,6.00am - 8.59am,1
11/07/2016,Monday,Stornoway,Search only,Coast,Complete,Highlands and Islands,57.18,-6.43,3.00am - 5.59am,8
11/07/2016,Monday,Lee On Solent,Pre-arranged Transfer,Land,Completed,South East,50.7,-1.3,3.00am - 5.59am,0
11/07/2016,Monday,Newquay,Rescue/Recovery,Land,Completed,South West,50.33,-4.22,9.00am - 11.59am,2
12/07/2016,Tuesday,Portland,Rescue/Recovery,Coast,Completed,South West,50.59,-2.03,3.00pm - 5.59pm,2
12/07/2016,Tuesday,Prestwick,Search only,Land,Stood Down,Highlands and Islands,55.67,-5.5,3.00pm - 5.59pm,0
12/07/2016,Tuesday,Inverness,Rescue/Recovery,Land,Complete,Highlands and Islands,57.33,-5,6.00pm - 8.59pm,6
12/07/2016,Tuesday,Sumburgh,Pre-arranged Transfer,Land,Complete,Highlands and Islands,59.88,-1.3,12.00am - 2.59am,1
12/07/2016,Tuesday,Sumburgh,Rescue/Recovery,Land,Complete,Highlands and Islands,59.54,-1.63,3.00pm - 5.59pm,1
12/07/2016,Tuesday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,52.69,-3.9,6.00am - 8.59am,2
12/07/2016,Tuesday,Caernarfon,Rescue/Recovery,Coast,Complete,Wales,52.88,-4.41,6.00pm - 8.59pm,1
12/07/2016,Tuesday,St Athan,Rescue/Recovery,Land,Complete,South West,51.23,-3.82,12.00pm - 2.59pm,2
12/07/2016,Tuesday,St Athan,Rescue/Recovery,Land,Stood Down,Wales,52.42,-4.08,9.00pm - 11.59pm,0
12/07/2016,Tuesday,Humberside,Rescue/Recovery,Maritime,Completed,East of England,53.46,1.73,9.00am - 11.59am,3
12/07/2016,Tuesday,Humberside,Rescue/Recovery,Land,Completed,Yorkshire and the Humber,54.09,-2.3,12.00pm - 2.59pm,3
13/07/2016,Wednesday,Humberside,Rescue/Recovery,Maritime,Completed,East of England,53.31,1.96,6.00am - 8.59am,3
13/07/2016,Wednesday,Caernarfon,Rescue/Recovery,Coast,Complete,South Western Scotland,54.14,-4.73,3.00pm - 5.59pm,2
13/07/2016,Wednesday,Caernarfon,Rescue/Recovery,Land,Complete,North West,54.5,-2.93,6.00pm - 8.59pm,3
13/07/2016,Wednesday,Sumburgh,Rescue/Recovery,Maritime,Complete,Highlands and Islands,60.31,-4.27,3.00pm - 5.59pm,2
13/07/2016,Wednesday,Prestwick,Rescue/Recovery,Land,Stood down,South Western Scotland,56.1,-4.62,12.00pm - 2.59pm,0
13/07/2016,Wednesday,Prestwick,Rescue/Recovery,Coast,Stood down,South Western Scotland,55.47,-4.63,3.00pm - 5.59pm,0
13/07/2016,Wednesday,Portland,Rescue/Recovery,Coast,Completed,South West,50.55,-2.46,3.00pm - 5.59pm,0
14/07/2016,Thursday,Portland,Search only,Coast,Stood down,South West,50.69,-3.12,6.00pm - 8.59pm,0
14/07/2016,Thursday,St Athan,Rescue/Recovery,Land,Complete,Wales,51.87,-3.45,3.00pm - 5.59pm,1
14/07/2016,Thursday,Newquay,Pre-arranged Transfer,Land,Completed,South West,49.21,-2.2,9.00am - 11.59am,4
14/07/2016,Thursday,Prestwick,Rescue/Recovery,Land,Completed,Highlands and Islands,56.55,-5.75,6.00am - 8.59am,1
14/07/2016,Thursday,Prestwick,Rescue/Recovery,Land,Completed,Eastern Scotland,56.1,-4.52,12.00pm - 2.59pm,1
14/07/2016,Thursday,Lydd,Rescue/Recovery,Coast,Stood down,South East,51.13,1.36,6.00pm - 8.59pm,0
14/07/2016,Thursday,Caernarfon,Rescue/Recovery,Coast,Complete,Wales,53.28,-4.66,9.00am - 11.59am,1
14/07/2016,Thursday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,53.11,-4.01,12.00pm - 2.59pm,0
14/07/2016,Thursday,Caernarfon,Pre-arranged Transfer,Land,Stood Down,Wales,53.27,-3.5,6.00pm - 8.59pm,0
14/07/2016,Thursday,Lee On Solent,Rescue/Recovery,Maritime,Completed,South West,50.19,-1.92,6.00am - 8.59am,2
14/07/2016,Thursday,Stornoway,Rescue/Recovery,Land,Complete,Highlands and Islands,57.69,-5.66,3.00pm - 5.59pm,2
15/07/2016,Friday,Lee On Solent,Rescue/Recovery,Land,Stood down,South East,51.27,-1.01,12.00pm - 2.59pm,0
15/07/2016,Friday,Lee On Solent,Rescue/Recovery,Maritime,Stood down,South East,50.42,-0.21,3.00pm - 5.59pm,4
15/07/2016,Friday,Caernarfon,Rescue/Recovery,Coast,Complete,Wales,52.91,-4.65,3.00am - 5.59am,2
15/07/2016,Friday,Caernarfon,Rescue/Recovery,Land,Complete,North West,53.66,-2.48,3.00pm - 5.59pm,2
15/07/2016,Friday,Caernarfon,Rescue/Recovery,Land,Stood Down,North West,53.92,-3,3.00pm - 5.59pm,1
15/07/2016,Friday,Lydd,Search only,Maritime,Complete (Nothing Found),South East,50.46,-0.14,9.00pm - 11.59pm,2
15/07/2016,Friday,Prestwick,Pre-arranged Transfer,Coast,Completed,Highlands and Islands,56.46,-5.4,9.00am - 11.59am,3
15/07/2016,Friday,Prestwick,Rescue/Recovery,Land,Completed,South Western Scotland,56.29,-4.7,3.00pm - 5.59pm,2
15/07/2016,Friday,Newquay,Pre-arranged Transfer,Coast,Completed,South West,49.91,-6.29,3.00am - 5.59am,2
15/07/2016,Friday,St Athan,Pre-arranged Transfer,Land,Complete,Wales,52.4,-4.06,6.00am - 8.59am,3
15/07/2016,Friday,St Athan,Rescue/Recovery,Land,Complete,Wales,52.02,-4.9,12.00pm - 2.59pm,2
15/07/2016,Friday,St Athan,Rescue/Recovery,Maritime,Stood Down,Wales,51.82,-6,6.00pm - 8.59pm,0
16/07/2016,Saturday,Portland,Rescue/Recovery,Maritime,Completed,South West,50.49,-1.79,6.00am - 8.59am,0
16/07/2016,Saturday,Portland,Rescue/Recovery,Maritime,Stood down,South West,50.35,-2.68,9.00am - 11.59am,1
16/07/2016,Saturday,Inverness,Rescue/Recovery,Land,Complete,Highlands and Islands,57.33,-5,6.00pm - 8.59pm,4
16/07/2016,Saturday,Sumburgh,Rescue/Recovery,Maritime,Complete,Highlands and Islands,58.47,1.26,12.00am - 2.59am,3
16/07/2016,Saturday,Sumburgh,Rescue/Recovery,Maritime,Complete,Highlands and Islands,61.27,0.92,3.00pm - 5.59pm,2
17/07/2016,Sunday,Sumburgh,Rescue/Recovery,Maritime,Complete,Highlands and Islands,62.18,-2.21,12.00pm - 2.59pm,2
17/07/2016,Sunday,Prestwick,Rescue/Recovery,Land,Completed,South Western Scotland,56.29,-4.7,3.00pm - 5.59pm,1
17/07/2016,Sunday,Prestwick,Pre-arranged Transfer,Land,Aborted-Weather,Highlands and Islands,56.95,-7.49,9.00pm - 11.59pm,2
17/07/2016,Sunday,Lydd,Rescue/Recovery,Coast,Completed,South East,51.12,1.31,9.00am - 11.59am,1
17/07/2016,Sunday,Lydd,Search only,Coast,Completed,South East,50.73,0.24,6.00pm - 8.59pm,1
17/07/2016,Sunday,Lydd,Rescue/Recovery,Coast,Stood down,East of England,51.77,0.91,6.00pm - 8.59pm,0
17/07/2016,Sunday,St Athan,Rescue/Recovery,Coast,Complete,Wales,51.45,-3.61,9.00am - 11.59am,0
17/07/2016,Sunday,St Athan,Support,Land,Complete,Wales,51.7,-3.5,12.00pm - 2.59pm,1
17/07/2016,Sunday,Newquay,Rescue/Recovery,Land,Completed,South West,50.1,-5.26,3.00pm - 5.59pm,2
17/07/2016,Sunday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,53.13,-4.12,6.00am - 8.59am,1
17/07/2016,Sunday,Humberside,Rescue/Recovery,Land,Completed,Yorkshire and the Humber,54.13,-0.16,6.00am - 8.59am,1
17/07/2016,Sunday,Lee On Solent,Search only,Coast,Completed,South East,50.67,-1.11,3.00pm - 5.59pm,0
17/07/2016,Sunday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,53.11,-4.01,12.00pm - 2.59pm,0
17/07/2016,Sunday,Caernarfon,Rescue/Recovery,Land,Aborted-Weather,Wales,52.88,-3.99,3.00pm - 5.59pm,0
17/07/2016,Sunday,Caernarfon,Search only,Coast,Stood Down,Wales,52.89,-4.4,6.00pm - 8.59pm,0
17/07/2016,Sunday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,53.08,-4.08,6.00pm - 8.59pm,1
18/07/2016,Monday,Caernarfon,Pre-arranged Transfer,Land,Complete,North West,54.04,-2.8,9.00am - 11.59am,3
18/07/2016,Monday,Lee On Solent,Rescue/Recovery,Coast,Completed,South West,50.59,-1.95,3.00pm - 5.59pm,2
18/07/2016,Monday,Humberside,Search only,Maritime,Complete (Nothing Found),Yorkshire and the Humber,54.75,0,3.00pm - 5.59pm,2
18/07/2016,Monday,Newquay,Rescue/Recovery,Land,Completed,South West,50.23,-5.37,12.00am - 2.59am,1
18/07/2016,Monday,St Athan,Rescue/Recovery,Coast,Stood Down,Wales,51.38,-3.28,6.00pm - 8.59pm,0
18/07/2016,Monday,St Athan,Search only,Land,Stood Down,Wales,51.78,-3.56,9.00pm - 11.59pm,1
18/07/2016,Monday,Portland,Rescue/Recovery,Coast,Completed,South West,50.62,-2.27,12.00pm - 2.59pm,1
18/07/2016,Monday,Portland,Search only,Coast,Complete (Nothing Found),South West,50.7,-1.95,6.00pm - 8.59pm,0
18/07/2016,Monday,Sumburgh,Rescue/Recovery,Maritime,Complete,Highlands and Islands,60.2,-3.86,9.00pm - 11.59pm,4
19/07/2016,Tuesday,Inverness,Rescue/Recovery,Land,Complete,Highlands and Islands,56.8,-5.04,12.00pm - 2.59pm,1
19/07/2016,Tuesday,St Athan,Rescue/Recovery,Land,Stood Down,Wales,51.85,-3.41,6.00am - 8.59am,0
19/07/2016,Tuesday,Humberside,Rescue/Recovery,Land,Stood Down,East Midlands,52.77,-0.29,3.00pm - 5.59pm,0
19/07/2016,Tuesday,St Athan,Support,Land,Complete,Wales,51.79,-3.56,12.00pm - 2.59pm,2
19/07/2016,Tuesday,Caernarfon,Rescue/Recovery,Maritime,Complete,Wales,53.54,-3.58,6.00am - 8.59am,1
19/07/2016,Tuesday,Caernarfon,Search only,Coast,False Alarm,Wales,53.41,-4.62,3.00pm - 5.59pm,1
19/07/2016,Tuesday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,52.86,-4.11,3.00pm - 5.59pm,1
19/07/2016,Tuesday,Caernarfon,Pre-arranged Transfer,Land,Complete,West Midlands,53,-2.22,3.00pm - 5.59pm,4
20/07/2016,Wednesday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,53.07,-4.07,6.00pm - 8.59pm,1
20/07/2016,Wednesday,Lee On Solent,Support,Coast,Completed,South West,50.55,-2.42,9.00pm - 11.59pm,0
20/07/2016,Wednesday,Lee On Solent,Pre-arranged Transfer,Land,Completed,South East,50.72,-1.31,9.00pm - 11.59pm,1
20/07/2016,Wednesday,Humberside,Search only,Coast,Completed,East of England,52.98,0.7,6.00pm - 8.59pm,1
20/07/2016,Wednesday,Lee On Solent,Rescue/Recovery,Coast,Completed,South West,50.62,-2.26,3.00pm - 5.59pm,1
20/07/2016,Wednesday,Lee On Solent,Search only,Coast,Re-tasked,South West,50.6,-2.43,9.00pm - 11.59pm,0
20/07/2016,Wednesday,Portland,Search only,Coast,Stood down,South West,50.56,-3.48,6.00am - 8.59am,0
20/07/2016,Wednesday,Portland,Rescue/Recovery,Maritime,Completed,South West,50.07,-2.4,12.00pm - 2.59pm,1
20/07/2016,Wednesday,Portland,Rescue/Recovery,Coast,Stood down,South West,50.72,-1.86,3.00pm - 5.59pm,0
20/07/2016,Wednesday,Portland,Search only,Coast,Complete (Nothing Found),South West,50.62,-2.27,3.00pm - 5.59pm,1
20/07/2016,Wednesday,Newquay,Search only,Coast,Stood down,South West,50.46,-3.48,6.00am - 8.59am,2
21/07/2016,Thursday,Inverness,Rescue/Recovery,Land,Complete,Highlands and Islands,58.84,-3.22,3.00pm - 5.59pm,2
21/07/2016,Thursday,Lydd,Search only,Coast,Stood Down,South East,50.74,0.26,12.00pm - 2.59pm,1
21/07/2016,Thursday,Prestwick,Support,Land,Completed,South Western Scotland,55.88,-4.38,12.00pm - 2.59pm,2
21/07/2016,Thursday,Prestwick,Rescue/Recovery,Coast,Stood down,Eastern Scotland,56.05,-3.22,12.00pm - 2.59pm,0
21/07/2016,Thursday,Humberside,Rescue/Recovery,Land,Stood Down,East of England,52.97,0.62,3.00pm - 5.59pm,0
21/07/2016,Thursday,Caernarfon,Rescue/Recovery,Land,Complete,Wales,53.17,-3.83,12.00pm - 2.59pm,2
22/07/2016,Friday,Caernarfon,Rescue/Recovery,Coast,Stood Down,North West,53.85,-3.06,3.00pm - 5.59pm,0
22/07/2016,Friday,Lee On Solent,Rescue/Recovery,Land,Completed,South East,50.62,-1.24,12.00am - 2.59am,1
22/07/2016,Friday,Stornoway,Rescue/Recovery,Land,Complete,Highlands and Islands,57.9,-6.81,12.00pm - 2.59pm,1
22/07/2016,Friday,Stornoway,Rescue/Recovery,Land,Complete,Highlands and Islands,57,-5.45,12.00pm - 2.59pm,1
22/07/2016,Friday,Humberside,Search only,Maritime,Aborted-Technical,East Midlands,53.56,0.42,12.00pm - 2.59pm,0
22/07/2016,Friday,St Athan,Rescue/Recovery,Land,Complete,South West,51.22,-2.29,3.00am - 5.59am,2
22/07/2016,Friday,St Athan,Rescue/Recovery,Coast,Stood Down,South West,51.44,-2.86,9.00pm - 11.59pm,0
22/07/2016,Friday,Prestwick,Support,Land,Completed,Eastern Scotland,55.84,-3.18,12.00am - 2.59am,2
22/07/2016,Friday,Prestwick,Search only,Maritime,Completed,South Western Scotland,54.79,-5.17,9.00pm - 11.59pm,1
22/07/2016,Friday,Sumburgh,Rescue/Recovery,Maritime,Complete,Highlands and Islands,59.17,-7.02,12.00pm - 2.59pm,7
22/07/2016,Friday,Humberside,Search only,Maritime,Complete (Nothing Found),East Midlands,53.56,0.42,3.00pm - 5.59pm,1
22/07/2016,Friday,Inverness,Rescue/Recovery,Land,Aborted-Weather,South Western Scotland,55.99,-4.21,6.00am - 8.59am,2
22/07/2016,Friday,Inverness,Search only,Land,Complete (Nothing Found),North Eastern Scotland,57,-2.5,9.00am - 11.59am,2
22/07/2016,Friday,Inverness,Support,Land,Complete,North Eastern Scotland,56.96,-2.57,12.00pm - 2.59pm,2
22/07/2016,Friday,Inverness,Rescue/Recovery,Land,Complete,Highlands and Islands,57.49,-6.15,3.00pm - 5.59pm,2
22/07/2016,Friday,Newquay,Pre-arranged Transfer,Coast,Completed,South West,49.91,-6.29,9.00am - 11.59am,1
23/07/2016,Saturday,Prestwick,Rescue/Recovery,Land,Completed,Eastern Scotland,56.26,-4.32,3.00pm - 5.59pm,1
23/07/2016,Saturday,Prestwick,Rescue/Recovery,Land,Completed,South Western Scotland,56.04,-4.61,6.00pm - 8.59pm,1
23/07/2016,Saturday,Inverness,Rescue/Recovery,Land,Re-tasked,Highlands and Islands,58.21,-3.57,9.00am - 11.59am,0
23/07/2016,Saturday,Inverness,Rescue/Recovery,Land,Complete,Highlands and Islands,56.67,-5,9.00am - 11.59am,1
23/07/2016,Saturday,Inverness,Rescue/Recovery,Land,Stood down,Eastern Scotland,56.26,-4.32,3.00pm - 5.59pm,0
23/07/2016,Saturday,Lydd,Search only,Land,Re-tasked,South East,51.28,-1.38,6.00pm - 8.59pm,1
23/07/2016,Saturday,Lydd,Support,Land,Completed,South East,51.3,-1.36,9.00pm - 11.59pm,2
23/07/2016,Saturday,Sumburgh,Rescue/Recovery,Maritime,Stood Down,Highlands and Islands,61.17,0.16,12.00pm - 2.59pm,2
23/07/2016,Saturday,Prestwick,Search only,Maritime,Stood Down,North West,54.4,-3.98,12.00am - 2.59am,3
23/07/2016,Saturday,Prestwick,Rescue/Recovery,Coast,Completed,Highlands and Islands,55.88,-5.4,12.00pm - 2.59pm,3
23/07/2016,Saturday,Humberside,Support,Land,Completed,East of England,52.79,1.59,9.00am - 11.59am,2
23/07/2016,Saturday,Inverness,Rescue/Recovery,Maritime,Re-tasked,North East,55.73,-1.01,3.00pm - 5.59pm,0
23/07/2016,Saturday,Inverness,Rescue/Recovery,Land,Stood down,Highlands and Islands,57.09,-3.66,3.00pm - 5.59pm,0
23/07/2016,Saturday,Inverness,Rescue/Recovery,Maritime,Complete,North East,55.73,-1.49,3.00pm - 5.59pm,2
23/07/2016,Saturday,St Athan,Rescue/Recovery,Land,Complete,Wales,51.74,-3.3,3.00pm - 5.59pm,0
23/07/2016,Saturday,St Athan,Search only,Land,Stood Down,Wales,51.87,-3.44,3.00pm - 5.59pm,1
23/07/2016,Saturday,St Athan,Rescue/Recovery,Coast,Complete,Wales,51.56,-4.3,6.00pm - 8.59pm,1
23/07/2016,Saturday,Caernarfon,Search only,Coast,Complete (Nothing Found),Wales,53.34,-3.91,9.00pm - 11.59pm,5
23/07/2016,Saturday,Caernarfon,Rescue/Recovery,Coast,Complete,South Western Scotland,54.86,-4.36,9.00pm - 11.59pm,4
24/07/2016,Sunday,Caernarfon,Pre-arranged Transfer,Coast,Complete,Wales,52.82,-4.5,3.00pm - 5.59pm,1
24/07/2016,Sunday,Lee On Solent,Search only,Coast,Complete (Nothing Found),South East,50.93,0.78,12.00pm - 2.59pm,3
24/07/2016,Sunday,St Athan,Rescue/Recovery,Coast,Complete,South West,51.39,-2.98,12.00am - 2.59am,1
