,Date,Day_of_week,Name_of_the_Base,Type_of_tasking,Tasking_location,Tasking_outcome,Region,Latitude,Longitude,Time_of_day,Duration
133,13/05/2015,Wednesday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.84,-1.3,6.00am - 8.59am,2
134,13/05/2015,Wednesday,Stornoway,Rescue/Recovery,Coast,Completed,Highlands and Islands,56.33,-6.39,6.00am - 8.59am,3
135,13/05/2015,Wednesday,Stornoway,Rescue/Recovery,Coast,Completed,Highlands and Islands,57.39,-7.44,6.00pm - 8.59pm,1
136,15/05/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,12.00am - 2.59am,0
137,15/05/2015,Friday,Lee On Solent,Pre-arranged transfer,Land,Completed,South East,50.71,-1.3,6.00pm - 8.59pm,0
138,15/05/2015,Friday,Portland,Rescue/Recovery,Maritime,Completed,South West,50.15,-2.38,12.00pm - 2.59pm,2
139,15/05/2015,Friday,Inverness,Rescue/Recovery,Coast,Completed,Highlands and Islands,57.67,-3.08,3.00pm - 5.59pm,1
140,16/05/2015,Saturday,Inverness,Search only,Land,Completed,Highlands and Islands,57.51,-4.07,6.00pm - 8.59pm,0
141,16/05/2015,Saturday,Portland,Aborted/Not Required,Coast,Aborted,South West,50.6,-2.25,3.00pm - 5.59pm,1
142,16/05/2015,Saturday,Stornoway,Search only,Land,Completed,Highlands and Islands,57.02,-6.28,3.00am - 5.59am,2
143,17/05/2015,Sunday,Stornoway,Aborted/Not Required,Maritime,Completed,Highlands and Islands,58.83,-6.83,3.00pm - 5.59pm,0
144,17/05/2015,Sunday,Inverness,Rescue/Recovery,Maritime,Completed,North Eastern Scotland,57.82,-0.97,12.00pm - 2.59pm,2
145,17/05/2015,Sunday,Lee On Solent,Rescue/Recovery,Coast,Completed,South East,50.73,0.24,3.00pm - 5.59pm,1
146,18/05/2015,Monday,Stornoway,Rescue/Recovery,Coast,Completed,Highlands and Islands,57.96,-5.2,12.00pm - 2.59pm,2
147,19/05/2015,Tuesday,Stornoway,Aborted/Not Required,Land,Completed,Highlands and Islands,57.23,-6.24,12.00pm - 2.59pm,2
148,19/05/2015,Tuesday,Sumburgh,Rescue/Recovery,Maritime,Completed,Highlands and Islands,60.63,1.66,9.00am - 11.59am,2
149,20/05/2015,Wednesday,Inverness,Aborted/Not Required,Coast,Completed,Eastern Scotland,56.33,-2.77,3.00pm - 5.59pm,2
150,20/05/2015,Wednesday,Humberside,Support,Coast,Completed,East of England,53.03,0.71,9.00pm - 11.59pm,1
151,20/05/2015,Wednesday,Lee On Solent,Aborted/Not Required,Coast,Stood down,South East,50.8,-0.95,9.00am - 11.59am,0
152,21/05/2015,Thursday,Inverness,Rescue/Recovery,Coast,Completed,Highlands and Islands,57.68,-3.0,9.00pm - 11.59pm,5
153,22/05/2015,Friday,Humberside,Rescue/Recovery,Maritime,Completed,East of England,53.24,2.57,9.00am - 11.59am,2
154,22/05/2015,Friday,Portland,Rescue/Recovery,Coast,Completed,South West,50.58,-3.34,3.00pm - 5.59pm,1
155,22/05/2015,Friday,Stornoway,Rescue/Recovery,Land,Completed,Highlands and Islands,58.21,-6.19,6.00pm - 8.59pm,5
156,23/05/2015,Saturday,Portland,Aborted/Not Required,Maritime,Stood down,South West,50.56,-2.29,3.00pm - 5.59pm,0
157,23/05/2015,Saturday,Humberside,Rescue/Recovery,Land,Completed,East Midlands,53.4,-1.71,6.00pm - 8.59pm,2
158,23/05/2015,Saturday,Inverness,Aborted/Not Required,Land,Stood down,Highlands and Islands,57.34,-4.41,9.00am - 11.59am,0
159,23/05/2015,Saturday,Inverness,Rescue/Recovery,Land,Completed,Highlands and Islands,56.8,-5.04,3.00pm - 5.59pm,1
